ms,degC
2022,29.30
4045,29.80
6068,29.80
8090,30.20
10114,30.20
12136,30.80
14158,30.80
16182,30.80
18204,31.30
20228,31.30
22250,31.40
24272,31.80
26296,31.80
28318,31.80
30343,32.30
32365,32.30
-31149,32.30
-29126,32.30
-27103,32.70
-25078,32.80
-23055,32.80
-21031,32.80
-19009,32.80
-16987,32.80
-14964,33.30
-12941,33.30
-10918,33.30
-8896,33.30
-6872,33.30
-4849,33.30
-2827,33.30
-804,33.80
1219,33.80
3244,33.80
5267,33.80
7290,33.80
9313,33.80
11335,33.80
13358,33.80
15380,33.80
17404,34.20
19427,34.20
21449,34.20
23474,34.20
25496,34.20
27518,34.20
29541,34.20
31564,34.20
-31949,34.20
-29925,34.20
-27902,34.20
-25880,34.20
-23856,34.70
