ms,degC
-8895,29.30
-6873,29.30
-4850,29.80
-2828,29.80
-803,30.20
1219,30.20
3241,30.80
5265,30.80
7287,31.30
9310,31.30
11332,31.30
13356,31.80
15378,31.80
17400,31.80
19425,32.30
21448,32.30
23471,32.30
25493,32.80
27515,32.80
29538,32.80
31562,32.80
-31950,33.30
-29927,33.30
-27904,33.30
-25882,33.30
-23859,33.80
-21834,33.80
-19812,33.80
-17789,33.80
-15767,33.80
-13745,33.80
-11720,34.20
-9697,34.20
-7674,34.20
-5652,34.20
-3630,34.20
-1607,34.20
417,34.20
2441,34.70
4463,34.70
6486,34.70
8508,34.70
10532,34.70
12555,34.70
14577,34.70
16600,34.70
18624,34.70
20646,34.70
22669,35.20
24691,35.20
26715,35.20
