ms,degC
2021,30.80
4045,30.30
6068,30.20
8090,30.20
10113,30.20
12137,30.80
14159,30.80
16182,30.80
18206,30.80
20229,30.80
22251,30.80
24274,31.20
26297,31.30
28321,31.30
30344,31.30
32367,31.30
-31146,31.50
-29124,31.80
-27100,31.80
-25076,31.80
-23054,31.80
-21031,31.80
-19007,31.80
-16985,32.30
-14962,32.30
-12939,32.30
-10916,32.30
-8894,32.30
-6871,32.30
-4848,32.30
-2826,32.80
-803,32.80
1219,32.80
3241,32.80
5264,32.80
7287,32.80
9312,32.80
11335,32.80
13358,33.30
15380,33.30
17403,33.30
19426,33.30
21449,33.30
23472,33.30
25496,33.30
27518,33.30
29542,33.30
31564,33.60
-31949,33.80
-29927,33.80
-27904,33.80
