ms,degC
2021,34.20
4045,34.20
6069,34.20
8091,34.20
10114,34.20
12136,34.70
14160,34.70
16183,34.70
18205,34.70
20230,34.70
22252,34.70
24274,34.70
26299,34.70
28321,34.70
30344,35.10
32366,35.20
-31145,35.20
-29123,35.20
-27101,35.20
-25078,35.20
-23054,35.20
-21030,35.20
-19008,35.20
-16986,35.20
-14963,35.20
-12939,35.20
-10916,35.60
-8894,35.60
-6872,35.60
-4847,35.60
-2825,35.60
-802,35.60
1220,35.60
3245,35.60
5267,35.60
7289,35.60
9312,35.60
11336,35.60
13359,35.60
15381,35.60
17405,35.60
19428,35.60
21450,35.60
23474,36.30
25498,36.30
27521,36.30
29543,36.30
31567,36.30
-31946,36.30
