ms,degC
2021,33.30
4045,33.80
6069,33.80
8091,33.80
10114,33.80
12136,33.80
14158,33.80
16182,33.80
18206,33.90
20229,34.20
22251,34.20
24274,34.20
26297,34.20
28321,34.20
30344,34.20
32366,34.20
-31146,34.20
-29124,34.30
-27102,34.70
-25079,34.70
-23055,34.70
-21032,34.70
-19010,34.70
-16986,34.70
-14962,34.70
-12940,34.70
-10917,34.70
-8893,34.70
-6869,34.70
-4847,34.70
-2825,34.80
-802,35.20
1220,35.20
3244,35.20
5268,35.20
7291,35.20
9315,35.20
11337,35.20
13360,35.20
15382,35.20
17404,35.20
19429,35.20
21452,35.20
23475,35.20
25497,35.20
27520,35.20
29542,35.20
31566,35.40
