ms,degC
2021,34.20
4043,34.20
6067,34.20
8090,34.20
10114,34.20
12138,34.20
14160,34.70
16183,34.70
18205,34.70
20230,34.70
22252,34.70
24274,34.70
26297,34.70
28321,34.70
30344,34.70
32366,34.70
-31148,35.20
-29124,35.20
-27100,35.20
-25076,35.20
-23054,35.20
-21031,35.20
-19009,35.20
-16986,35.20
-14961,35.20
-12938,35.20
-10915,35.20
-8893,35.20
-6871,35.20
-4848,35.40
-2824,35.60
-801,35.60
1221,35.60
3244,35.60
5266,35.60
7290,35.60
9313,35.60
11335,35.60
13358,35.60
15382,35.60
17404,35.60
19427,35.60
21449,35.60
23474,35.60
25496,35.60
27518,35.60
29541,35.60
